"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2015","350.14","353.07","357.11","346.58","343.12M","-1.75%"
"08/25/2015","356.36","345.05","358.03","345.05","450.00M","4.20%"
"08/24/2015","342.01","353.55","353.55","331.98","581.64M","-5.33%"
"08/21/2015","361.28","370.08","371.75","361.28","300.61M","-3.26%"
"08/20/2015","373.44","379.66","380.01","373.22","251.77M","-2.06%"
"08/19/2015","381.31","386.66","386.66","381.31","218.77M","-1.76%"
"08/18/2015","388.13","386.88","389.25","385.69","171.08M","0.22%"
"08/17/2015","387.26","388.27","390.45","384.00","167.21M","0.26%"
"08/14/2015","386.24","386.63","388.93","384.60","187.78M","-0.12%"
"08/13/2015","386.69","385.97","390.13","385.97","238.77M","0.97%"
"08/12/2015","382.99","391.37","391.37","381.73","320.36M","-2.70%"
"08/11/2015","393.61","399.76","399.76","393.29","219.55M","-1.55%"
"08/10/2015","399.82","398.09","399.93","394.41","206.91M","0.69%"
"08/07/2015","397.07","400.39","400.39","396.96","234.99M","-0.91%"
"08/06/2015","400.70","402.81","403.17","400.70","265.03M","-0.80%"
"08/05/2015","403.93","400.28","404.04","400.28","259.41M","1.30%"
"08/04/2015","398.75","399.16","399.49","397.01","329.02M","-0.17%"
"08/03/2015","399.44","397.35","399.89","396.72","225.07M","0.77%"
"07/31/2015","396.37","396.44","397.19","393.67","276.26M","0.03%"
"07/30/2015","396.24","395.86","396.77","393.89","272.59M","0.57%"
"07/29/2015","394.01","391.27","394.25","390.26","262.28M","1.02%"
"07/28/2015","390.02","387.54","391.13","387.02","262.11M","1.07%"
"07/27/2015","385.91","393.09","393.09","385.74","254.10M","-2.21%"
"07/24/2015","394.64","397.81","400.21","394.25","217.00M","-0.87%"
"07/23/2015","398.10","401.52","402.55","397.30","203.52M","-0.54%"
"07/22/2015","400.28","401.28","401.76","399.56","223.77M","-0.59%"
"07/21/2015","402.66","407.54","407.94","401.85","214.03M","-1.02%"
"07/20/2015","406.80","405.90","408.73","405.90","189.43M","0.28%"
"07/17/2015","405.68","406.61","406.79","404.93","210.88M","0.06%"
"07/16/2015","405.43","401.51","406.77","401.51","267.42M","1.35%"
"07/15/2015","400.03","398.84","400.35","397.70","215.55M","0.43%"
"07/14/2015","398.30","396.18","398.30","394.80","226.50M","0.46%"
"07/13/2015","396.46","391.28","396.60","391.28","301.18M","1.97%"
"07/10/2015","388.80","384.37","389.24","384.37","311.77M","2.03%"
"07/09/2015","381.06","373.88","381.93","373.85","288.46M","2.19%"
"07/08/2015","372.88","372.36","375.03","371.33","303.67M","0.04%"
"07/07/2015","372.74","379.52","380.14","372.74","310.84M","-1.57%"
"07/06/2015","378.68","380.78","381.33","377.33","311.69M","-1.24%"
"07/03/2015","383.42","385.61","385.74","382.10","172.62M","-0.53%"
